DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-20 03:52:00+00:00,6.0,4.0,1.005,MAINTENANCE
2024-08-20 03:53:00+00:00,6.0,4.0,1.017,MAINTENANCE
2024-08-20 03:54:00+00:00,6.0,4.0,1.012,MAINTENANCE
2024-08-20 03:55:00+00:00,6.0,4.0,1.013,MAINTENANCE
2024-08-20 03:56:00+00:00,6.0,4.0,1.013,MAINTENANCE
2024-08-20 03:57:00+00:00,6.06,4.0,0.995,MAINTENANCE
2024-08-20 03:58:00+00:00,6.06,3.93,1.007,MAINTENANCE
2024-08-20 03:59:00+00:00,5.81,4.0,1.033,MAINTENANCE
2024-08-20 04:00:00+00:00,5.87,4.0,0.945,MAINTENANCE
2024-08-20 04:01:00+00:00,5.87,4.0,1.011,MILKING
2024-08-20 04:02:00+00:00,5.87,4.0,1.019,MILKING
2024-08-20 04:03:00+00:00,5.87,4.06,1.045,MILKING
2024-08-20 04:04:00+00:00,5.81,4.06,1.014,MILKING
2024-08-20 04:05:00+00:00,5.87,4.0,1.006,MILKING
2024-08-20 04:06:00+00:00,5.81,4.0,1.017,MILKING
2024-08-20 04:07:00+00:00,5.87,4.0,1.023,MILKING
2024-08-20 04:08:00+00:00,5.87,4.0,1.013,MILKING
2024-08-20 04:09:00+00:00,5.87,4.0,1.008,MILKING
2024-08-20 04:10:00+00:00,5.87,4.0,1.013,MILKING
2024-08-20 04:11:00+00:00,5.87,4.0,1.013,MILKING
2024-08-20 04:12:00+00:00,5.87,4.0,1.042,MILKING
2024-08-20 04:13:00+00:00,5.93,4.25,0.979,MILKING
2024-08-20 04:14:00+00:00,5.87,4.31,1.006,MILKING
2024-08-20 04:15:00+00:00,5.93,4.43,1.004,MILKING
2024-08-20 04:16:00+00:00,6.0,4.56,0.991,MILKING
2024-08-20 04:17:00+00:00,6.06,4.5,0.976,MILKING
2024-08-20 04:18:00+00:00,6.0,4.5,0.969,MILKING
2024-08-20 04:19:00+00:00,6.0,4.56,0.881,MILKING
2024-08-20 04:20:00+00:00,6.0,4.5,0.986,MILKING
2024-08-20 04:21:00+00:00,6.0,4.43,0.999,MILKING
2024-08-20 04:22:00+00:00,6.0,4.56,0.986,MILKING
2024-08-20 04:23:00+00:00,6.06,4.56,0.996,MILKING
2024-08-20 04:24:00+00:00,6.12,4.68,0.999,MILKING
2024-08-20 04:25:00+00:00,6.12,4.75,0.984,MILKING
2024-08-20 04:26:00+00:00,6.12,4.81,1.001,MILKING
2024-08-20 04:27:00+00:00,6.12,4.87,1.031,MILKING
2024-08-20 04:28:00+00:00,6.18,4.87,0.968,MILKING
2024-08-20 04:29:00+00:00,6.25,4.93,0.974,MILKING
2024-08-20 04:30:00+00:00,6.25,4.93,0.99,MILKING
2024-08-20 04:31:00+00:00,6.25,4.87,0.957,MILKING
2024-08-20 04:32:00+00:00,6.31,4.87,1.011,MILKING
2024-08-20 04:33:00+00:00,6.31,4.87,0.997,MILKING
2024-08-20 04:34:00+00:00,6.31,4.87,1.004,MILKING
2024-08-20 04:35:00+00:00,6.31,4.93,0.984,MILKING
2024-08-20 04:36:00+00:00,6.37,4.93,1.015,MILKING
2024-08-20 04:37:00+00:00,6.37,5.06,1.033,MILKING
2024-08-20 04:38:00+00:00,6.43,5.12,0.928,MILKING
2024-08-20 04:39:00+00:00,6.5,5.12,0.978,MILKING
2024-08-20 04:40:00+00:00,6.43,5.18,0.985,MILKING
2024-08-20 04:41:00+00:00,6.5,5.18,0.671,MILKING
2024-08-20 04:42:00+00:00,6.56,5.12,0.96,MILKING
2024-08-20 04:43:00+00:00,6.5,5.18,1.009,MILKING
2024-08-20 04:44:00+00:00,6.62,5.18,0.99,MILKING
2024-08-20 04:45:00+00:00,6.62,5.25,1.032,MILKING
2024-08-20 04:46:00+00:00,6.56,5.18,0.955,MILKING
2024-08-20 04:47:00+00:00,6.62,5.25,0.956,MILKING
2024-08-20 04:48:00+00:00,6.68,5.31,0.91,MILKING
2024-08-20 04:49:00+00:00,6.68,5.25,0.94,MILKING
2024-08-20 04:50:00+00:00,6.68,5.25,0.984,MILKING
2024-08-20 04:51:00+00:00,6.75,5.37,0.947,MILKING
2024-08-20 04:52:00+00:00,6.75,5.31,0.92,MILKING
2024-08-20 04:53:00+00:00,6.75,5.43,0.9,MILKING
2024-08-20 04:54:00+00:00,6.81,5.43,0.987,MILKING
2024-08-20 04:55:00+00:00,6.81,5.43,0.997,MILKING
2024-08-20 04:56:00+00:00,6.87,5.43,0.953,MILKING
2024-08-20 04:57:00+00:00,6.87,5.43,1.022,MILKING
2024-08-20 04:58:00+00:00,6.93,5.5,1.033,MILKING
2024-08-20 04:59:00+00:00,6.93,5.5,1.011,MILKING
