Over surface temperature (ºC),Surface temperature (ºC),DateTime,AccelX
7.31,5.93,2024-08-20 05:15:44+00:00,1.012
7.31,6.0,2024-08-20 05:16:44+00:00,1.005
7.37,5.93,2024-08-20 05:17:44+00:00,0.995
7.37,5.93,2024-08-20 05:18:44+00:00,1.009
7.43,5.87,2024-08-20 05:19:44+00:00,1.002
7.43,5.93,2024-08-20 05:20:44+00:00,1.024
7.43,5.87,2024-08-20 05:21:44+00:00,0.976
7.5,5.87,2024-08-20 05:22:44+00:00,0.999
7.5,5.81,2024-08-20 05:23:44+00:00,0.992
7.56,5.81,2024-08-20 05:24:44+00:00,1.015
7.5,5.81,2024-08-20 05:25:44+00:00,1.016
7.56,5.93,2024-08-20 05:26:44+00:00,1.0
7.56,6.0,2024-08-20 05:27:44+00:00,1.023
7.56,6.0,2024-08-20 05:28:44+00:00,0.983
7.56,6.0,2024-08-20 05:29:44+00:00,1.006
7.56,6.12,2024-08-20 05:30:44+00:00,0.875
7.62,6.18,2024-08-20 05:31:44+00:00,1.008
7.62,6.06,2024-08-20 05:32:44+00:00,0.996
7.68,6.0,2024-08-20 05:33:44+00:00,0.99
7.68,6.0,2024-08-20 05:34:44+00:00,0.929
7.75,6.06,2024-08-20 05:35:44+00:00,1.014
7.75,6.0,2024-08-20 05:36:44+00:00,1.015
7.75,5.93,2024-08-20 05:37:43+00:00,0.998
7.75,5.93,2024-08-20 05:38:43+00:00,1.004
7.75,5.93,2024-08-20 05:39:43+00:00,0.979
7.75,5.87,2024-08-20 05:40:43+00:00,0.98
7.81,5.87,2024-08-20 05:41:43+00:00,1.009
7.87,5.81,2024-08-20 05:42:43+00:00,0.983
7.81,5.87,2024-08-20 05:43:43+00:00,1.003
7.81,5.81,2024-08-20 05:44:43+00:00,1.018
7.81,5.81,2024-08-20 05:45:43+00:00,1.014
7.81,5.81,2024-08-20 05:46:43+00:00,1.027
7.81,5.75,2024-08-20 05:47:43+00:00,0.995
7.87,5.68,2024-08-20 05:48:43+00:00,1.008
7.87,5.68,2024-08-20 05:49:43+00:00,0.996
7.81,5.62,2024-08-20 05:50:43+00:00,1.011
7.87,5.56,2024-08-20 05:51:43+00:00,1.018
7.81,5.5,2024-08-20 05:52:43+00:00,1.01
7.81,5.5,2024-08-20 05:53:43+00:00,1.01
7.81,5.43,2024-08-20 05:54:43+00:00,0.787
7.81,5.37,2024-08-20 05:55:43+00:00,0.997
7.75,5.31,2024-08-20 05:56:43+00:00,1.017
7.75,5.31,2024-08-20 05:57:43+00:00,1.011
7.75,5.31,2024-08-20 05:58:43+00:00,1.023
7.75,5.25,2024-08-20 05:59:42+00:00,1.006
7.68,5.18,2024-08-20 06:00:39+00:00,0.992
7.68,5.12,2024-08-20 06:01:39+00:00,1.015
7.75,5.12,2024-08-20 06:02:39+00:00,1.013
7.68,5.06,2024-08-20 06:03:39+00:00,0.964
7.62,5.06,2024-08-20 06:04:39+00:00,0.906
7.62,5.0,2024-08-20 06:05:39+00:00,0.997
7.62,4.93,2024-08-20 06:06:39+00:00,1.012
7.62,4.87,2024-08-20 06:07:39+00:00,0.953
7.62,4.87,2024-08-20 06:08:39+00:00,0.974
7.56,4.81,2024-08-20 06:09:39+00:00,1.016
7.5,4.75,2024-08-20 06:10:39+00:00,1.005
7.5,4.68,2024-08-20 06:11:39+00:00,1.014
7.5,4.68,2024-08-20 06:12:39+00:00,0.99
7.43,4.56,2024-08-20 06:13:39+00:00,1.019
7.43,4.5,2024-08-20 06:14:39+00:00,0.964
7.43,4.5,2024-08-20 06:15:38+00:00,1.016
7.37,4.5,2024-08-20 06:16:38+00:00,1.021
7.37,4.43,2024-08-20 06:17:38+00:00,1.009
7.31,4.37,2024-08-20 06:18:38+00:00,1.005
7.31,4.37,2024-08-20 06:19:38+00:00,1.008
7.25,4.31,2024-08-20 06:20:38+00:00,1.016
7.18,4.31,2024-08-20 06:21:38+00:00,1.013
7.18,4.25,2024-08-20 06:22:38+00:00,1.007
7.18,4.18,2024-08-20 06:23:38+00:00,0.886
7.12,4.18,2024-08-20 06:24:38+00:00,1.007
7.12,4.18,2024-08-20 06:25:38+00:00,1.011
7.06,4.18,2024-08-20 06:26:38+00:00,1.017
7.06,4.18,2024-08-20 06:27:38+00:00,1.013
7.06,4.12,2024-08-20 06:28:38+00:00,1.016
7.0,4.12,2024-08-20 06:29:38+00:00,1.015
6.93,4.18,2024-08-20 06:30:38+00:00,1.014
6.93,4.18,2024-08-20 06:31:38+00:00,1.016
6.93,4.12,2024-08-20 06:32:38+00:00,1.016
6.93,4.18,2024-08-20 06:33:38+00:00,1.015
6.87,4.18,2024-08-20 06:34:38+00:00,1.013
6.81,4.18,2024-08-20 06:35:38+00:00,1.015
6.81,4.18,2024-08-20 06:36:38+00:00,1.016
6.81,4.18,2024-08-20 06:37:37+00:00,1.018
6.81,4.18,2024-08-20 06:38:37+00:00,1.017
6.81,4.12,2024-08-20 06:39:37+00:00,1.007
6.75,4.12,2024-08-20 06:40:37+00:00,1.018
6.81,4.12,2024-08-20 06:41:37+00:00,1.012
6.75,4.12,2024-08-20 06:42:37+00:00,1.009
6.68,4.12,2024-08-20 06:43:37+00:00,1.016
6.68,4.06,2024-08-20 06:44:37+00:00,1.016
6.68,4.06,2024-08-20 06:45:37+00:00,1.014
6.68,4.12,2024-08-20 06:46:37+00:00,1.015
6.68,4.06,2024-08-20 06:47:37+00:00,1.015
6.62,4.12,2024-08-20 06:48:37+00:00,1.016
6.68,4.12,2024-08-20 06:49:37+00:00,1.014
6.62,4.06,2024-08-20 06:50:37+00:00,1.015
6.62,4.06,2024-08-20 06:51:37+00:00,1.015
6.56,4.12,2024-08-20 06:52:37+00:00,1.022
6.62,4.06,2024-08-20 06:53:37+00:00,0.926
6.56,4.06,2024-08-20 06:54:37+00:00,0.992
6.56,4.12,2024-08-20 06:55:37+00:00,0.997
6.56,4.06,2024-08-20 06:56:37+00:00,1.016
6.5,4.12,2024-08-20 06:57:37+00:00,1.015
6.5,4.06,2024-08-20 06:58:36+00:00,1.016
6.5,4.06,2024-08-20 06:59:36+00:00,1.014
6.56,4.06,2024-08-20 07:00:32+00:00,1.016
6.43,4.06,2024-08-20 07:01:32+00:00,1.016
6.5,4.06,2024-08-20 07:02:32+00:00,1.014
6.43,4.12,2024-08-20 07:03:32+00:00,1.015
6.43,4.06,2024-08-20 07:04:32+00:00,1.016
6.5,4.06,2024-08-20 07:05:32+00:00,1.015
6.43,4.06,2024-08-20 07:06:32+00:00,1.015
6.43,4.06,2024-08-20 07:07:32+00:00,1.015
6.43,4.06,2024-08-20 07:08:32+00:00,1.007
6.37,4.06,2024-08-20 07:09:32+00:00,1.01
6.43,4.06,2024-08-20 07:10:32+00:00,1.014
6.37,4.06,2024-08-20 07:11:32+00:00,1.014
6.37,4.06,2024-08-20 07:12:32+00:00,1.014
6.31,4.0,2024-08-20 07:13:32+00:00,1.013
6.37,4.06,2024-08-20 07:14:32+00:00,1.015
6.37,4.06,2024-08-20 07:15:32+00:00,1.013
6.31,4.06,2024-08-20 07:16:31+00:00,1.015
6.37,4.06,2024-08-20 07:17:31+00:00,1.014
6.37,4.06,2024-08-20 07:18:31+00:00,1.013
6.37,4.06,2024-08-20 07:19:31+00:00,1.014
6.31,4.12,2024-08-20 07:20:31+00:00,1.014
6.37,4.06,2024-08-20 07:21:31+00:00,1.015
6.31,4.0,2024-08-20 07:22:31+00:00,1.032
6.31,4.06,2024-08-20 07:23:31+00:00,0.952
6.31,4.0,2024-08-20 07:24:31+00:00,1.023
6.31,4.06,2024-08-20 07:25:31+00:00,1.004
6.31,4.0,2024-08-20 07:26:31+00:00,1.019
6.31,4.06,2024-08-20 07:27:31+00:00,1.013
6.31,4.06,2024-08-20 07:28:31+00:00,1.015
6.25,4.06,2024-08-20 07:29:31+00:00,1.012
6.25,4.06,2024-08-20 07:30:31+00:00,1.015
6.25,4.06,2024-08-20 07:31:31+00:00,1.015
6.31,4.06,2024-08-20 07:32:31+00:00,1.016
6.25,4.06,2024-08-20 07:33:31+00:00,1.016
6.25,4.06,2024-08-20 07:34:31+00:00,1.016
6.25,4.06,2024-08-20 07:35:31+00:00,1.016
6.25,4.06,2024-08-20 07:36:31+00:00,1.015
6.25,4.06,2024-08-20 07:37:31+00:00,1.031
6.25,4.06,2024-08-20 07:38:30+00:00,1.012
6.25,4.12,2024-08-20 07:39:30+00:00,0.987
6.25,4.06,2024-08-20 07:40:30+00:00,1.001
6.25,4.06,2024-08-20 07:41:30+00:00,1.022
6.25,4.06,2024-08-20 07:42:30+00:00,1.021
6.18,4.06,2024-08-20 07:43:30+00:00,1.011
6.18,4.06,2024-08-20 07:44:30+00:00,1.016
6.18,4.06,2024-08-20 07:45:30+00:00,1.016
6.12,4.0,2024-08-20 07:46:30+00:00,1.016
6.18,4.06,2024-08-20 07:47:30+00:00,1.012
6.18,4.06,2024-08-20 07:48:30+00:00,1.014
6.18,4.0,2024-08-20 07:49:30+00:00,1.014
6.18,4.06,2024-08-20 07:50:30+00:00,1.016
6.18,4.0,2024-08-20 07:51:30+00:00,1.013
6.18,4.0,2024-08-20 07:52:30+00:00,1.011
6.18,4.06,2024-08-20 07:53:30+00:00,1.026
6.18,4.06,2024-08-20 07:54:30+00:00,0.998
6.18,4.06,2024-08-20 07:55:30+00:00,1.005
6.18,4.06,2024-08-20 07:56:30+00:00,1.016
